Date,Open,High,Low,Close,Volume
2024-04-01,69000,69200,68700,69050,35000
2024-04-02,69050,69500,68900,69250,36000
2024-04-03,69250,69800,69000,69500,37000
2024-04-04,69500,70000,69300,69800,36500
2024-04-05,69800,70200,69600,69900,35500
2024-04-06,69900,70500,69700,70250,37500
2024-04-07,70250,70700,70000,70500,39000
2024-04-08,70500,71000,70300,70800,41000
2024-04-09,70800,71200,70500,71000,42000
2024-04-10,71000,71500,70700,71300,42500
2024-04-11,71300,71700,71000,71600,43000
2024-04-12,71600,71900,71200,71800,43500
2024-04-13,71800,72200,71500,72000,44000
2024-04-14,72000,72500,71800,72300,44500
2024-04-15,72300,72800,72000,72500,45000
2024-04-16,72500,73000,72200,72800,45500
2024-04-17,72800,73200,72500,73000,46000
2024-04-18,73000,73500,72700,73300,46500
2024-04-19,73300,73700,73000,73500,47000
2024-04-20,73500,73800,73200,73600,47500
2024-04-21,73600,74000,73400,73800,48000
2024-04-22,73800,74200,73600,74000,48500
2024-04-23,74000,74300,73700,74100,49000
2024-04-24,74100,74500,73900,74300,49500
2024-04-25,74300,74700,74100,74500,50000
2024-04-26,74500,74800,74300,74700,50500
2024-04-27,74700,75000,74500,74900,51000
2024-04-28,74900,75200,74700,75100,51500
2024-04-29,75100,75400,74900,75200,52000
2024-04-30,75200,75600,75000,75400,52500
2024-05-01,75400,75800,75200,75700,53000
2024-05-02,75700,76000,75500,75900,53500
2024-05-03,75900,76300,75700,76100,54000
2024-05-04,76100,76500,75900,76300,54500
2024-05-05,76300,76700,76100,76500,55000
2024-05-06,76500,76800,76300,76700,55500
2024-05-07,76700,77000,76500,76900,56000
2024-05-08,76900,77300,76700,77200,56500
2024-05-09,77200,77600,77000,77400,57000
2024-05-10,77400,77800,77200,77600,57500
2024-05-11,77600,78000,77400,77900,58000
2024-05-12,77900,78200,77700,78100,58500
2024-05-13,78100,78500,77900,78300,59000
2024-05-14,78300,78700,78100,78500,59500
2024-05-15,78500,78800,78300,78600,60000
2024-05-16,78600,79000,78400,78800,60500
2024-05-17,78800,79200,78600,79000,61000
2024-05-18,79000,79300,78800,79200,61500
2024-05-19,79200,79600,79000,79400,62000
2024-05-20,79400,79800,79200,79600,62500
2024-05-21,79600,80000,79400,79800,63000
2024-05-22,79800,80200,79600,80000,63500
2024-05-23,80000,80400,79800,80200,64000
2024-05-24,80200,80600,80000,80400,64500
2024-05-25,80400,80700,80200,80600,65000
2024-05-26,80600,80900,80400,80800,65500
2024-05-27,80800,81200,80600,81000,66000
2024-05-28,81000,81400,80800,81200,66500
2024-05-29,81200,81600,81000,81400,67000
2024-05-30,81400,81800,81200,81600,67500
2024-05-31,81600,82000,81400,81800,68000
2024-06-01,81800,82200,81600,82000,68500
2024-06-02,82000,82400,81800,82200,69000
2024-06-03,82200,82600,82000,82400,69500
2024-06-04,82400,82800,82200,82600,70000
2024-06-05,82600,83000,82400,82800,70500
2024-06-06,82800,83200,82600,83000,71000
2024-06-07,83000,83400,82800,83200,71500
2024-06-08,83200,83600,83000,83400,72000
2024-06-09,83400,83800,83200,83600,72500
2024-06-10,83600,84000,83400,83800,73000
2024-06-11,83800,84200,83600,84000,73500
2024-06-12,84000,84400,83800,84200,74000
2024-06-13,84200,84600,84000,84400,74500
2024-06-14,84400,84800,84200,84600,75000
2024-06-15,84600,85000,84400,84800,75500
2024-06-16,84800,85200,84600,85000,76000
2024-06-17,85000,85400,84800,85200,76500
2024-06-18,85200,85600,85000,85400,77000
2024-06-19,85400,85800,85200,85600,77500
2024-06-20,85600,86000,85400,85800,78000
2024-06-21,85800,86200,85600,86000,78500
2024-06-22,86000,86400,85800,86200,79000
2024-06-23,86200,86600,86000,86400,79500
2024-06-24,86400,86800,86200,86600,80000
2024-06-25,86600,87000,86400,86800,80500
